productId,productName,categoryId,categoryName,numberOfUnits,mrp,discountPrice,description
1,"Cotton T-Shirt",5,Clothing,150,14.99,12.99,"Classic round-neck cotton t-shirt available in various colors."
2,"Wireless Mouse",1,Electronics,100,29.99,24.99,"A high-precision wireless mouse with ergonomic design."
3,"Office Chair",3,Furniture,20,199.99,149.99,"Ergonomic office chair with adjustable height."
4,"Bluetooth Headphones",1,Electronics,60,49.99,39.99,"Wireless headphones with noise-canceling feature."
5,"Standing Desk",3,Furniture,10,399.99,349.99,"Adjustable height standing desk for office use."
6,Bananas,2,Groceries,200,0.99,0.89,"Fresh and ripe bananas."
7,"Yoga Mat",6,Fitness,40,19.99,15.99,"Non-slip yoga mat for exercise and meditation."
8,"Electric Kettle",1,Electronics,30,39.99,34.99,"Stainless steel electric kettle with auto shut-off."
9,"Leather Wallet",7,Accessories,100,29.99,24.99,"Premium leather wallet with multiple compartments."
10,Notebook,8,Stationery,300,2.99,2.49,"Spiral-bound notebook for school and office use."
11,"Running Shoes",5,Clothing,80,89.99,74.99,"Lightweight and durable running shoes."
12,Smartwatch,1,Electronics,25,199.99,179.99,"Smartwatch with heart rate monitor and GPS."
13,"Recliner Sofa",3,Furniture,5,899.99,799.99,"Comfortable recliner sofa with leather upholstery."
14,"Almond Milk",2,Groceries,100,3.99,3.49,"Dairy-free almond milk, perfect for vegan diets."
15,"Resistance Bands",6,Fitness,70,14.99,11.99,"Set of resistance bands for strength training."
16,"Air Fryer",1,Electronics,20,129.99,109.99,"Air fryer for healthy and oil-free cooking."
17,"Silk Scarf",7,Accessories,50,49.99,39.99,"Elegant silk scarf available in various patterns."
18,"Ballpoint Pens",8,Stationery,500,1.99,1.49,"Pack of 10 ballpoint pens with smooth ink."
19,"Hiking Backpack",9,Outdoor,40,79.99,69.99,"Lightweight hiking backpack with multiple compartments."
20,"Desk Lamp",1,Electronics,30,19.99,15.99,"LED desk lamp with adjustable brightness."
21,"Protein Powder",6,Fitness,60,49.99,44.99,"High-quality protein powder for muscle recovery."
22,"Travel Mug",7,Accessories,150,14.99,12.99,"Insulated travel mug to keep beverages hot or cold."
23,"Cookware Set",3,Kitchen,15,199.99,179.99,"Non-stick cookware set with 10 pieces."
24,"Baby Stroller",10,"Baby Products",10,299.99,249.99,"Lightweight and foldable baby stroller."
25,"Shower Gel",4,Beauty,120,9.99,7.99,"Refreshing shower gel with natural ingredients."
26,"Camping Tent",9,Outdoor,25,129.99,119.99,"Waterproof camping tent for 2-4 people."
27,"Gaming Keyboard",1,Electronics,40,89.99,79.99,"RGB mechanical gaming keyboard with customizable keys."
28,"Electric Toothbrush",4,Beauty,50,49.99,39.99,"Electric toothbrush with multiple brushing modes."
29,"Cotton T-Shirt",5,Clothing,150,14.99,12.99,"Comfortable cotton t-shirt in multiple colors."
30,"Vitamin C Serum",4,Beauty,75,25.0,19.99,"Brightening serum enriched with Vitamin C."
31,"Organic Apples",2,Groceries,50,3.99,3.49,"Fresh and organic apples."
32,"Slim Fit Jeans",5,Clothing,120,39.99,29.99,"Comfortable slim fit jeans available in various sizes."
33,Smartphone,1,Electronics,80,599.99,499.99,"Latest model smartphone with 5G support and a 48MP camera."
34,"Coconut Oil",2,Groceries,150,7.99,6.49,"Pure coconut oil for cooking, skincare, and hair care."
35,"Dumbbells Set",6,Fitness,30,49.99,39.99,"Set of adjustable dumbbells for home workout."
36,Barbell,6,Fitness,15,119.99,99.99,"High-quality barbell with a durable grip and weights."
37,"Folding Yoga Chair",6,Fitness,25,89.99,69.99,"Portable and foldable yoga chair for comfortable posture support."
38,"Cushion Pillow",7,Accessories,200,19.99,15.99,"Soft and comfortable cushion pillow for home and office use."
39,Sunglasses,7,Accessories,50,39.99,29.99,"Stylish sunglasses with UV protection."
40,"Canvas Tote Bag",7,Accessories,100,19.99,14.99,"Durable canvas tote bag for daily use with a spacious interior."
41,"Wall Clock",8,Stationery,80,29.99,19.99,"Elegant wall clock with a modern design."
42,"Desk Organizer",8,Stationery,150,14.99,11.99,"Space-saving desk organizer to keep your workspace tidy."
43,"Backpack Organizer",9,Outdoor,40,29.99,24.99,"Compact backpack organizer for hiking and travel essentials."
44,"Camping Hammock",9,Outdoor,25,59.99,49.99,"Portable and lightweight camping hammock with tree straps."
45,"Insulated Water Bottle",9,Outdoor,150,19.99,14.99,"Durable stainless steel water bottle with temperature retention."
46,"Electric Grill",3,Kitchen,30,119.99,99.99,"Non-stick electric grill perfect for indoor grilling."
47,Juicer,3,Kitchen,60,79.99,59.99,"Easy-to-use juicer for fresh fruit and vegetable juice."
48,"Standing Desk Converter",3,Furniture,10,159.99,139.99,"Ergonomic standing desk converter for easy height adjustment."
49,"Coffee Table",3,Furniture,15,149.99,119.99,"Modern coffee table made of wood and metal with a sleek design."
50,"Wireless Earbuds",1,Electronics,50,89.99,69.99,"High-quality wireless earbuds with a sleek design and long battery life."
51,"Graphic Hoodie",5,Clothing,80,29.99,24.99,"Comfortable hoodie with unique graphic designs."
52,"Smartphone Stand",1,Electronics,150,9.99,7.99,"Compact and foldable smartphone stand."
53,Dumbbells,6,Fitness,40,49.99,39.99,"Set of two adjustable dumbbells for weight training."
54,Blender,1,Electronics,30,79.99,69.99,"High-speed blender with multiple settings."
55,"Designer Handbag",7,Accessories,25,149.99,129.99,"Stylish handbag with multiple compartments."
56,"Gel Pens",8,Stationery,300,3.99,3.49,"Pack of 5 smooth and vibrant gel pens."
